Country,Date,realGDP,realPersInc,unempRate,indProd,retailSales,recBinary
USA,10/1/1999,101.22,121.26,0.041,89.33,84.932,0
USA,11/1/1999,101.32,120.8864648,0.041,89.75,85.8164,0
USA,12/1/1999,101.39,120.7029744,0.04,90.44,87.406,0
USA,1/1/2000,101.45,120.6498976,0.04,90.46,86.4326,0
USA,2/1/2000,101.51,120.6571551,0.041,90.73,87.3692,0
USA,3/1/2000,101.58,120.6144134,0.04,91.05,87.81,0
USA,4/1/2000,101.66,120.4016464,0.038,91.71,86.4322,0
USA,5/1/2000,101.7,119.9530245,0.04,91.87,86.4359,0
USA,6/1/2000,101.7,119.4038505,0.04,91.95,86.6156,0
USA,7/1/2000,101.65,118.9360728,0.04,91.82,86.0189,0
USA,8/1/2000,101.57,118.6747086,0.041,91.55,86.1678,0
USA,9/1/2000,101.47,118.5412444,0.039,91.9,87.1751,0
USA,10/1/2000,101.34,118.4117062,0.039,91.63,86.8364,0
USA,11/1/2000,101.19,118.2001441,0.039,91.65,86.3291,0
USA,12/1/2000,101.01,117.95157,0.039,91.4,86.2566,0
USA,1/1/2001,100.82,117.739162,0.042,90.81,86.4968,0
USA,2/1/2001,100.63,117.5994559,0.042,90.23,86.2998,0
USA,3/1/2001,100.45,117.447385,0.043,90.02,85.4389,0
USA,4/1/2001,100.27,117.1727073,0.044,89.76,86.7934,1
USA,5/1/2001,100.08,116.7151846,0.043,89.21,86.5274,1
USA,6/1/2001,99.88,116.1744923,0.045,88.68,85.9085,1
USA,7/1/2001,99.66,115.6821856,0.046,88.17,85.7153,1
USA,8/1/2001,99.46,115.3306567,0.049,88.06,86.2421,1
USA,9/1/2001,99.3,115.0915843,0.05,87.72,84.3124,1
USA,10/1/2001,99.17,114.9134725,0.053,87.34,90.714,1
USA,11/1/2001,99.09,114.7577516,0.055,86.91,88.155,0
USA,12/1/2001,99.05,114.6242602,0.057,86.93,86.9122,0
USA,1/1/2002,99.04,114.5199146,0.057,87.48,86.7093,0
USA,2/1/2002,99.04,114.4292456,0.057,87.46,87.0004,0
USA,3/1/2002,99.04,114.2726505,0.057,88.17,86.547,0
USA,4/1/2002,99.02,113.9591988,0.059,88.54,87.5931,0
USA,5/1/2002,98.99,113.4591118,0.058,88.91,86.2507,0
USA,6/1/2002,98.93,112.9115588,0.058,89.76,86.9408,0
USA,7/1/2002,98.85,112.4845174,0.058,89.54,87.7479,0
USA,8/1/2002,98.75,112.276867,0.057,89.55,88.229,0
USA,9/1/2002,98.64,112.2033555,0.057,89.68,86.6393,0
USA,10/1/2002,98.52,112.1485059,0.057,89.41,86.9055,0
USA,11/1/2002,98.42,112.0466649,0.059,89.87,87.2704,0
USA,12/1/2002,98.34,111.9602662,0.06,89.43,87.8656,0
USA,1/1/2003,98.29,111.9718951,0.058,90.11,87.9707,0
USA,2/1/2003,98.29,112.1108362,0.059,90.24,86.1577,0
USA,3/1/2003,98.33,112.274158,0.059,90.03,87.5328,0
USA,4/1/2003,98.41,112.3389871,0.06,89.39,87.6724,0
USA,5/1/2003,98.55,112.24472,0.061,89.42,87.8524,0
USA,6/1/2003,98.72,112.0798278,0.063,89.57,88.7693,0
USA,7/1/2003,98.92,111.954413,0.062,89.96,89.4533,0
USA,8/1/2003,99.11,111.9257776,0.061,89.83,90.5306,0
USA,9/1/2003,99.27,111.9292064,0.061,90.36,89.7566,0
USA,10/1/2003,99.4,111.882972,0.06,90.49,89.3233,0
USA,11/1/2003,99.49,111.7415735,0.058,91.18,90.4269,0
USA,12/1/2003,99.53,111.5403363,0.057,91.12,89.934,0
USA,1/1/2004,99.55,111.3254274,0.057,91.35,89.9788,0
USA,2/1/2004,99.56,111.1257456,0.056,91.91,90.4485,0
USA,3/1/2004,99.56,110.9329865,0.058,91.45,91.9531,0
USA,4/1/2004,99.58,110.7339962,0.056,91.86,90.7604,0
USA,5/1/2004,99.61,110.5133599,0.056,92.59,92.061,0
USA,6/1/2004,99.66,110.2509581,0.056,91.83,90.4161,0
USA,7/1/2004,99.73,109.9262343,0.055,92.53,91.3387,0
USA,8/1/2004,99.82,109.5392469,0.054,92.6,91.4699,0
USA,9/1/2004,99.91,109.1314936,0.054,92.68,92.8517,0
USA,10/1/2004,100.02,108.7492239,0.055,93.56,92.9519,0
USA,11/1/2004,100.12,108.4131376,0.054,93.76,92.8704,0
USA,12/1/2004,100.22,108.0943139,0.054,94.45,93.9858,0
USA,1/1/2005,100.31,107.7582342,0.053,94.88,93.41,0
